Model,Accuracy,ROC-AUC,F1-Score,Sensitivity (Recall),Specificity
XGBoost,0.8105616093880972,0.9080235921000358,0.696236559139785,0.8533772652388797,0.7959527824620574
RandomForest,0.827745180217938,0.8974290945156425,0.6796570537802027,0.7182866556836903,0.8650927487352446
LightGBM,0.829002514668902,0.8967516874982058,0.6913767019667171,0.7528830313014827,0.8549747048903878
GradientBoosting,0.8113998323554066,0.8794021038048698,0.6656760772659732,0.7380560131795717,0.836424957841484
SVM,0.7648784576697402,0.8525456705681236,0.6272425249169435,0.7775947281713345,0.760539629005059
LogisticRegression,0.6098072087175188,0.6807574734709262,0.4609148812970469,0.6556836902800659,0.5941540191118606
