Model,Accuracy,ROC-AUC,F1-Score,Sensitivity (Recall),Specificity
RandomForest,0.875943000838223,0.9306776014883508,0.7639553429027113,0.7891268533772653,0.9055649241146712
LightGBM,0.8784576697401508,0.9303812648573464,0.7661290322580645,0.7825370675453048,0.911186059584036
XGBoost,0.8625314333612741,0.9270724811617879,0.7595307917888563,0.8533772652388797,0.865654862282181
GradientBoosting,0.8646269907795474,0.9241003173580107,0.746268656716418,0.7825370675453048,0.8926363125351321
SVM,0.856663872590109,0.9087912891847316,0.7373271889400922,0.7907742998352554,0.8791455874086566
LogisticRegression,0.866303436714166,0.8817820573726239,0.7421180274858529,0.7561779242174629,0.9038785834738617
